empresa_id,fecha_fundacion,cnae,cp,base_revenue,cagr_10y_pct
4999932,2006-08-09,4791,04264,422965,0.31
5000020,1998-04-20,5610,17361,566376,-3.31
8778029,2008-02-15,8899,47031,838839,12.67
5000021,2006-06-17,8552,16808,507177,11.36
6370214,2005-10-15,4741,42197,906976,4.0
7874782,2013-06-16,3211,36571,179283,-3.45
5440327,1998-03-15,4646,38255,389336,12.82
14526686,2015-07-14,1107,12264,851520,-3.21
12688031,2008-05-01,4673,30438,278090,9.32
16617290,2011-08-17,2110,38041,978459,8.16
8725277,2017-01-09,2932,27684,604907,-1.87
16141472,2004-02-26,9523,35036,416820,0.27
7466820,1989-04-02,8219,47129,882507,14.03
6950003,2006-04-06,8623,28155,388456,8.62
9127893,2012-04-04,2811,08274,880019,5.74
15314548,2011-06-03,8559,43717,171915,13.96
5000022,2008-11-22,1623,41265,298759,8.29
14928031,2021-12-02,4391,11560,769648,4.86
3197567,2011-03-25,5320,14107,577113,9.31
13599034,2002-11-08,9101,40868,444730,5.48
10999828,2020-04-15,5224,30079,720790,8.79
15881418,2007-10-24,4772,36863,128846,6.33
8997937,2012-12-28,9001,14323,483549,11.26
5304134,1979-06-10,7732,01711,899030,8.57
12821595,2013-07-22,2042,43068,847858,0.21
10174157,2009-08-02,3030,22119,434241,-0.86
5000023,2001-08-09,9511,10274,341012,-1.69
9657664,2010-05-14,9529,41297,509657,12.98
12437019,2009-08-10,8552,48697,939296,-2.37
12959029,2008-05-17,6201,39798,920197,10.13
16426884,1986-06-22,6492,40821,745502,5.95
15321940,2003-12-08,0111,06005,593224,1.16
11736750,1997-08-25,4751,33166,968175,-4.17
7953490,2018-03-30,9522,38652,933212,8.25
5000024,1987-11-02,8423,45813,58277,0.67
5000025,2006-06-09,4399,22678,205122,9.0
5000026,2015-07-29,4221,24958,463218,14.17
10403221,2002-02-01,4211,26476,406330,5.7
9082556,2013-04-24,2825,50694,892343,12.67
9350914,2025-04-22,8292,30846,938637,14.54
5000027,2016-06-11,7410,16848,404404,3.07
11195835,2013-09-13,9411,25118,819036,0.64
5000028,1981-09-21,9603,48783,970028,14.69
7832719,1989-12-05,6810,35175,408357,12.35
8200751,2016-04-15,3514,28907,674407,8.6
11623525,2001-02-23,8623,06239,421555,9.04
5000029,2005-02-18,8421,04287,759523,11.39
7552261,1984-07-26,8899,31735,968422,14.59
15340264,2022-12-11,1391,34218,96508,5.06
5000030,2014-01-07,2229,06697,133748,-1.0
6159369,1984-06-12,3109,19741,855542,12.74
4406998,2014-07-07,8510,07624,353240,6.4
8797570,2012-01-19,9603,39183,762311,-2.64
8183968,2009-12-08,9525,22349,651829,8.54
14865954,1994-01-09,4778,09024,727370,1.8
5000031,2005-04-20,2016,41713,158180,14.42
6344950,1980-02-02,9521,35300,118842,3.18
7969484,1997-08-24,1411,28221,968582,14.39
14637595,2017-09-02,5621,25787,990057,-3.09
15699704,2012-05-11,8730,33902,501868,-3.18
8184483,2021-11-15,8520,34901,932692,6.39
5000032,2000-09-19,6619,39290,211231,11.03
10054671,2011-02-11,0111,38841,965769,-2.85
5000033,2013-02-13,8891,49695,504265,0.98
5678569,2023-06-30,4729,03789,883821,14.44
5517036,2024-10-14,2229,45625,897799,0.53
5000034,2010-02-25,7010,45679,451829,7.46
14758122,2017-08-05,6110,08127,790053,1.87
7190212,2012-07-05,4711,51002,574929,-4.9
5757398,2014-02-04,2042,13451,426851,12.54
12746300,2011-08-10,4729,46781,322389,9.02
5951206,2001-01-02,4520,12073,721247,11.82
6948688,,2410,42960,319060,8.82
5000035,1998-06-17,3299,19219,902341,-4.69
9995910,2014-07-09,6920,13930,388260,-2.38
10235038,1997-03-08,7732,18066,313650,10.14
6117570,2004-10-23,5510,13023,748233,4.58
5000036,2002-02-02,9512,48559,982766,10.0
14943553,2001-10-07,1721,02227,155576,11.59
7081237,2012-01-14,5819,31606,843120,13.77
13632844,2017-09-08,9601,01817,267177,5.35
9592040,2021-03-03,2016,45574,233956,0.39
15289413,2010-09-25,4511,26444,174021,12.1
4582413,2021-10-01,8510,08856,250252,-4.55
12620957,2008-12-28,9319,23433,115814,12.45
171772,2001-12-11,6621,45141,855091,-0.3
13275054,2010-12-07,2351,18394,968202,6.09
14913102,2017-05-12,8720,04843,949828,-2.99
6720246,2018-06-19,5819,43509,323258,6.37
13825859,2014-03-25,4649,08476,493411,6.53
7557573,1990-08-14,9521,06423,433618,11.75
13110769,2010-03-27,0125,29451,448086,-3.64
14259929,2018-03-09,4799,17614,270723,-0.42
5000037,2016-01-17,1011,13592,227444,-1.09
8702644,2007-06-21,8622,49092,510225,2.39
11700155,2025-02-14,2630,50782,550866,1.96
16700617,2012-05-30,4741,03470,99460,-3.65
11888331,2016-11-22,7739,10467,503252,-4.81
16721542,2012-08-26,7990,42360,847114,0.3
5000038,2014-04-23,0149,04436,414941,8.8
4827952,2012-06-04,8121,08812,221019,12.7
12457935,2014-12-11,3030,24020,982448,8.67
5314908,1991-08-04,9521,50953,844308,0.46
7827771,2007-11-06,6202,02340,344789,0.96
4442940,2007-03-23,7990,28883,218022,2.31
16228913,2022-06-22,1812,43557,991045,12.15
5000039,2024-03-11,7112,29516,237820,3.35
15883985,2006-10-16,7820,51496,186127,-3.06
11963950,2001-03-14,3211,37362,615852,11.43
14495147,2013-08-18,8510,02149,165407,14.82
4999704,2014-03-21,8230,22578,955480,11.68
10505214,2005-11-14,8129,04058,361949,11.32
15139751,2010-08-20,6621,44391,406953,-2.11
5000040,2003-11-28,4221,19744,814226,3.96
5000041,2004-06-28,5811,21733,122109,8.33
5000042,1981-08-09,7022,42180,914472,-0.39
11038990,,9499,16026,173098,9.03
15215653,2004-02-07,8891,03199,529086,3.61
7883914,2008-08-07,7311,29547,174795,7.41
5000043,2017-11-06,8299,52297,461161,3.25
5000044,2016-01-25,6010,43432,544768,11.38
8413229,2016-06-10,8621,08768,261492,5.73
10251817,2009-02-07,1071,51067,138475,0.92
5000045,2017-03-04,7410,51668,169741,12.4
10778892,2015-05-11,2790,40178,444204,7.87
4533510,2014-12-08,4520,31534,193203,9.98
5000046,2020-07-14,5814,44420,772145,-4.64
5000047,2020-05-30,7211,15879,659190,-3.13
14559224,1988-10-04,8292,16165,554584,4.77
11086114,1992-02-22,6201,09533,234299,2.16
5000048,1998-07-12,8129,30626,168804,10.82
7927805,2020-07-09,6612,08715,799940,-4.12
5000049,2020-01-10,8510,27256,409926,-3.44
14087998,2003-01-21,8532,52197,872613,12.97
15755592,2001-05-17,4772,31675,974298,4.67
11363318,2016-01-17,0149,28446,487626,14.45
7425027,2008-05-05,5229,34247,297761,8.19
12847751,2008-03-11,8552,14041,310152,12.19
9252319,2005-04-29,8710,24223,427616,1.9
13501525,2019-02-25,2899,21342,514585,1.88
5000050,2009-01-13,1071,39253,467796,7.36
5802429,2006-02-25,2932,25714,703290,8.57
12128185,2005-01-10,4719,01560,904183,10.34
10000528,1993-03-13,9529,48879,626582,-2.92
10835396,2005-03-18,5630,42970,119752,13.82
12719256,2015-09-12,8891,15238,999622,5.08
5000051,1997-05-21,2016,05091,95061,6.68
10078719,2016-12-18,4941,48503,177509,-4.37
7667899,2021-01-04,4321,03035,54944,11.66
5000052,2014-08-10,1721,08517,106779,13.53
8075973,2024-12-29,5911,18653,198989,1.58
14830188,2017-11-26,9420,34650,75179,1.46
5000053,2015-10-31,8532,46982,740044,-3.0
13921314,2000-05-31,1310,35905,625395,-2.8
14672432,2016-01-04,1107,47481,509828,2.91
5000054,2002-01-02,3514,33366,75314,2.42
5000055,2006-07-29,5814,48364,742093,10.49
7899101,1994-08-08,1413,38095,743684,13.87
7083515,2007-01-05,6010,09177,280907,-2.33
13540789,2000-07-14,8899,19436,884583,4.88
4380848,1996-05-03,6202,43543,537621,14.51
7038639,1994-03-14,8010,26994,861240,8.66
4700317,2012-03-22,8623,05363,977957,0.06
10907843,2018-05-20,9525,23505,181183,12.58
12910286,2008-04-06,6920,20563,413275,-0.84
8761465,1998-06-29,1920,12014,742314,5.31
6380934,2020-11-22,1083,42205,259077,0.02
9415054,1992-02-24,8423,15251,928796,9.76
7541797,1992-03-11,4120,34700,833257,7.18
9001265,2019-10-04,4120,06504,878345,4.4
10851115,2024-11-05,2016,16452,857322,7.22
5000056,2017-08-28,4751,39809,934620,5.44
5000057,,2740,04717,470189,-0.22
15285101,2019-03-29,3211,11702,269049,5.11
5000058,2018-08-08,4711,34424,56057,6.21
12046840,1990-02-17,2630,50131,509759,-3.57
9471766,2019-07-23,6209,04817,86181,12.76
16202830,2009-09-07,1011,17746,920777,5.23
4413064,2010-01-23,9700,31287,262749,12.8
10860360,2017-09-04,9609,38116,589441,-0.47
12363574,2014-09-07,1071,26474,904297,10.62
16727842,2018-07-26,5812,22910,314335,8.51
7954346,1999-07-16,7740,06310,636789,-3.6
6019990,2019-11-04,1411,07910,232138,6.74
7414,2014-07-13,7712,07367,859686,7.61
5000059,2014-01-13,1391,12601,657412,5.02
15708683,2021-09-14,4711,09613,798133,14.61
15335194,2017-04-19,5811,25161,791004,8.08
12477286,2015-04-10,9003,34749,169757,6.24
13207642,2004-09-02,3600,29398,198088,13.37
5779027,2006-04-04,4520,44306,936756,-4.58
12914849,2015-02-07,5510,36768,299801,1.01
8949086,2004-08-07,4799,27736,162355,-3.65
11993627,2007-03-29,3109,43869,556846,13.15
5000060,1994-09-30,7820,22402,551062,1.94
16125722,2022-06-20,4520,36843,392061,14.77
5000061,2017-07-30,2630,38747,162432,-2.46
5000062,2015-02-24,1623,36989,859422,-3.02
5000063,2024-09-07,9609,28012,75742,-0.9
5000064,2006-06-29,4791,29941,320785,12.55
16483613,2013-08-30,6209,19962,697115,7.74
11910465,1992-08-26,4110,42591,725951,-4.87
10234634,2014-12-17,5224,04365,657201,3.8
4677553,2013-11-27,9512,33269,615422,9.35
5850470,2007-04-05,4211,45685,235436,-3.38
11338378,2003-06-30,2910,08373,820906,11.26
5000065,2003-03-06,8720,45588,564087,11.5
7019178,2019-10-30,7912,02202,795989,-0.99
7351979,2013-08-04,3011,17184,275447,6.28
13790992,2011-02-20,2014,02634,733119,6.47
13714275,2010-05-23,9412,11482,336697,8.49
6172323,2020-04-30,6920,46106,63612,13.73
5000066,2017-10-19,8559,17514,808770,2.21
16161803,1995-03-26,1721,47413,969132,10.74
7609524,2022-12-10,8559,20975,456232,13.3
6981916,1994-12-04,6832,14094,944099,5.57
13994955,1987-10-10,2790,39083,937712,-1.97
6934513,2017-10-16,9420,12828,182549,-4.86
4963107,2017-11-18,4690,23153,314607,1.98
5000067,2010-10-18,2932,20276,362117,-2.73
5000068,2001-08-25,8299,03896,578522,11.07
14260678,2001-06-04,8532,26330,488532,1.98
5000069,2015-01-22,4719,16251,180212,6.25
10152905,2015-12-16,1310,28608,72330,-2.9
11087711,2009-04-26,2740,20253,930129,5.38
5000070,2016-03-08,6110,07064,894180,7.96
4679066,2019-04-18,4719,29918,175860,-4.54
5000071,2023-10-19,1419,24312,755407,9.87
6024785,2007-12-01,4519,47010,276867,10.43
9421954,1994-10-04,9311,29701,901585,0.31
5000072,2009-02-27,8730,15819,235745,14.47
10270643,2005-11-11,5320,50227,963421,-3.11
5000073,2012-10-11,6820,07475,805999,-3.73
10146143,2025-09-19,4391,29104,370092,11.34
453815,2019-03-07,7120,19150,548133,-4.48
13995436,2011-08-22,5829,22331,155019,9.72
13829608,2018-11-12,8560,36403,772883,1.3
12910314,1974-02-18,7022,48087,414903,11.26
5000074,2008-06-30,8531,40599,396139,10.14
5879303,2019-03-02,6311,17576,946859,-0.32
5000075,2015-06-04,4519,06404,451677,-3.64
16564777,2009-06-10,8559,20066,939731,14.71
4596809,2017-05-18,8292,43635,200754,0.96
7383698,2004-02-18,4759,50455,117879,-2.19
16129969,1998-06-20,2932,14647,309268,3.47
16422440,2012-10-21,6511,12037,142889,13.33
13074927,1992-12-10,7820,08886,606517,-4.01
9152329,2009-07-26,2511,39728,787487,-0.7
5000076,2010-02-10,4639,22833,126411,12.52
11179995,2005-12-10,7211,38505,483666,-1.94
16635438,2002-01-23,4646,34135,134362,5.52
9509818,2024-01-22,7320,15048,359445,-0.61
12009124,2007-06-21,9512,08477,596834,3.63
5000077,2017-01-24,1011,28819,445580,-2.83
14882784,2017-08-22,9523,45171,454681,6.11
8168739,2003-09-22,9529,07810,873399,13.82
5000078,2003-09-05,4211,32962,492630,9.28
16306727,1999-10-17,4617,08685,516839,7.71
5000079,2007-01-15,4211,45201,375956,10.54
15395643,1998-10-11,9311,51658,921486,7.48
8389736,1991-12-27,1391,13648,566619,2.24
6629334,2023-04-08,4646,29446,638852,1.58
5000080,2007-10-20,7912,02105,344843,11.31
5000081,2014-01-03,4771,23957,237490,-2.72
10685451,2017-12-10,6511,07131,806848,8.35
5934046,2003-06-08,4391,09965,480009,5.77
5000082,2009-08-24,7120,36874,867854,3.09
5000083,2011-02-08,2825,10060,502437,-2.6
9243400,2000-05-28,1920,14975,918908,-3.22
11852463,2008-10-14,4778,12168,84478,11.49
1515014,2006-09-24,6419,40077,564208,-2.96
10143578,2013-09-14,1083,28209,98589,0.06
9445778,1980-08-22,9499,49002,565757,7.11
5000084,2000-07-07,4519,33334,636154,-0.09
5629515,2009-10-29,8220,36251,247129,13.49
16655935,2022-11-25,4771,07680,634627,11.23
15347173,2010-10-23,5814,02894,349383,-0.7
11474128,2007-04-27,6910,08313,53455,-2.6
5000085,1996-06-12,4612,08898,990104,13.19
6864981,2014-06-13,6611,14036,335868,10.75
5000086,2015-11-22,2433,46309,507052,7.09
15022530,2004-09-13,2825,45944,685068,7.14
8747906,1995-08-09,4649,19726,764842,-4.71
5201996,2021-06-06,6110,41485,314343,13.57
5677395,2011-06-27,2611,12138,916171,13.05
13800998,1990-09-28,9001,36446,343220,-4.49
5000087,2011-10-10,4639,38266,189500,1.7
15297559,2012-10-10,6910,19226,215388,-3.93
15015575,1999-12-04,6832,27198,338012,1.96
9891886,2019-08-27,4939,30206,621361,3.95
5000088,2002-07-31,4741,09913,764056,-2.67
14880311,2013-11-10,9522,24060,91405,11.95
11211565,2022-02-10,8552,27918,615595,6.77
16101463,2013-10-25,6201,41884,564107,-2.35
5000089,2016-01-20,8430,45868,375899,6.95
10773350,2004-10-23,0111,26770,253341,7.23
4685373,2000-07-06,7112,37388,788331,0.58
7368704,1998-08-03,5811,26665,371978,10.46
5060695,2008-06-14,2811,06165,968856,-0.11
11485023,1995-08-08,7311,38606,970988,3.93
461250,2020-06-11,9602,40556,802941,12.78
5000090,2018-02-26,6810,01939,254740,0.88
5000091,1997-11-27,4771,34698,996530,-0.85
11196654,1993-04-20,1920,08786,696757,12.5
5650657,2022-11-06,6010,40338,698832,0.77
7205196,2006-12-10,4120,47131,956184,3.85
5000092,2011-08-19,4619,04618,273302,-0.27
8993203,2021-04-08,2042,52097,735131,9.8
9875710,2008-11-19,4778,31624,791368,6.74
7381313,2012-10-31,8623,22609,409728,1.71
8157379,2012-11-28,8610,39263,83679,5.21
6342456,2018-12-01,9412,08538,138091,-4.67
10145021,2004-06-20,7120,01930,761885,-4.62
16010000,2012-03-05,4211,08187,471090,-3.9
5000093,2001-01-20,4291,19265,819497,9.79
15470130,2002-10-24,2790,45654,887950,10.33
5000094,2016-07-26,8430,10084,143931,1.58
13124226,2000-12-06,5911,34435,576773,-0.47
14567085,2005-12-01,4910,39031,674818,10.19
12541098,2013-04-02,5630,36750,140204,3.7
6478377,2002-09-16,6499,13426,58271,12.88
8677192,2019-03-20,6810,31230,778668,8.66
4376471,2015-05-29,7729,11673,229096,14.71
5000095,2010-11-23,8413,20412,776023,8.41
15886922,2003-11-11,7022,02297,414138,0.1
21056,1976-04-03,9529,43313,324138,-4.08
7245367,2024-04-07,7500,17545,421670,11.34
8086329,2018-05-07,7010,42653,636287,-1.65
12654697,2008-01-04,6202,13330,981829,-0.38
12327591,1999-05-09,5920,09693,342729,-4.44
6504240,2023-10-02,6611,16672,430661,3.07
8097094,2008-09-23,1391,26711,897757,2.08
5000096,2020-11-02,7112,11561,984210,5.25
9294838,2020-07-28,8532,22847,675197,4.12
15210657,2019-01-18,4511,36424,579776,-0.87
9871523,2025-09-19,5630,45858,340510,5.55
5000097,2000-04-01,6612,12066,218431,2.39
16552875,2002-11-22,7022,30025,58144,-0.57
14075268,2002-06-12,8412,36046,93318,-3.38
8387548,2005-04-30,6202,43157,885774,-2.35
12053866,2021-05-19,5229,48201,872324,1.65
14560728,2011-04-06,1391,14949,430555,0.29
5000098,2014-01-06,8423,30589,717559,10.28
11904959,2006-07-15,7990,19700,205704,14.66
5000099,2022-02-28,4759,09161,385876,5.84
16674623,2024-12-12,6619,50132,856105,-2.32
15700679,2007-07-30,4931,17028,910747,10.88
5000100,2000-06-23,6520,04555,360124,6.44
4434686,2004-12-07,5320,08320,612843,12.81
11993937,2021-09-08,7732,02863,446878,11.98
5000101,2002-07-19,3030,13874,618457,11.46
16455390,2013-05-30,4771,35228,162753,13.5
6699483,2020-02-23,3600,06424,919377,-4.21
6577687,2019-06-27,3211,29369,793856,3.33
20155,1991-03-03,9522,46917,639151,-3.36
6186099,1986-09-06,4329,24102,681637,10.59
5439238,2015-01-16,6201,40240,85071,4.32
10926769,2019-10-09,7219,40914,61155,9.61
5633521,2005-06-16,6619,02122,183738,8.37
14208956,1991-12-10,0111,33519,120078,4.86
5779399,1989-10-25,7911,26265,124070,10.15
5297185,2013-05-09,9499,09050,621920,1.36
5000102,2017-08-24,4771,48043,999394,3.82
5000103,2022-09-15,9603,02094,438610,11.45
14888045,2016-07-07,1310,52183,879708,5.25
5000104,2006-05-02,4619,23730,526929,-3.17
8954088,1996-08-28,0149,06457,574620,4.57
5037609,2003-12-22,3030,11914,732796,4.09
15431595,1990-05-27,7732,39945,673220,5.83
12189092,2024-03-04,6832,50240,976310,2.01
8585887,2005-08-23,2630,38635,543613,4.39
6063123,2013-04-27,6622,14500,648991,-2.84
5000105,2001-10-17,7810,09014,758116,11.02
5778978,1993-10-02,9603,31239,848239,-1.28
5000106,2001-03-12,9412,45613,212720,-0.11
11770148,2022-05-20,9521,20402,725236,-0.15
14895018,2015-09-27,8622,01817,830544,5.71
5000107,2023-08-07,4221,33664,454664,-3.56
14289604,1995-12-07,9412,11608,62675,14.17
9182306,2000-01-05,7721,45987,155600,9.61
12040979,1993-08-28,4799,29526,934844,2.56
5000108,2007-11-25,4719,24365,277216,14.81
200227,2016-05-27,4619,01164,323867,-0.89
5000109,2010-02-09,4711,12807,662500,1.38
11024807,2016-02-05,2120,30326,676104,4.61
5000110,2016-06-13,4778,24369,305078,5.46
14604694,2015-05-12,4519,16612,51423,6.18
7749427,2015-07-15,7490,32766,866802,7.59
13667757,1985-04-11,8520,13117,353563,-2.6
6133992,2011-04-18,9603,52282,674341,-3.97
12608481,2020-09-16,2825,20622,977469,4.81
6299600,2003-07-06,4619,45755,67805,3.98
5000111,2007-05-05,6910,42054,610847,14.47
13692025,2017-03-14,6612,08381,983893,2.32
5535730,1990-07-05,9601,40304,931943,-0.4
7978055,,7711,14540,378201,13.54
5000112,2011-09-07,8020,43994,77623,12.87
5000113,2005-02-25,7732,27074,146685,12.61
13585263,2003-05-09,4939,05421,354765,1.51
13230840,2013-06-26,1107,33197,405241,6.34
10908796,2007-04-15,8421,01972,599451,11.99
8044473,2010-07-04,7022,40782,737740,9.43
15530413,2013-08-03,7410,24983,751809,13.27
6825369,1995-06-05,1419,11073,174045,-4.04
15796757,2001-02-28,1411,37888,643724,10.07
13602711,2018-08-21,8230,09135,872879,1.15
5000114,2020-06-20,4291,17011,97941,11.74
5000115,1996-03-26,1721,43393,88621,6.79
14783509,2012-07-14,4321,27883,263301,11.87
6405723,1989-09-02,8899,09325,182902,12.8
16003000,2022-03-01,7732,01628,335738,8.28
5000116,2017-09-17,8710,39888,619333,-1.97
14078118,1999-10-16,7112,13293,929474,8.17
5000117,2005-05-21,7010,30417,227724,4.62
5000118,2017-06-19,8531,32394,542772,4.44
5000119,2011-02-28,4772,11446,590553,0.25
15889748,2005-02-13,7420,32121,318505,14.73
15314248,2016-06-16,6820,02226,350709,10.09
14102951,2021-07-19,7721,50269,205938,-2.09
5000120,2008-08-21,2433,20034,740208,-0.85
8055473,1995-10-02,8710,05234,365880,2.22
5000121,2024-07-21,9411,34567,574513,9.67
6201193,,7810,38010,329600,13.07
13896670,2014-12-12,6612,47642,293949,8.11
5390640,2021-10-04,6622,30441,985146,4.63
11828673,2018-07-25,8730,30435,530424,12.88
9512381,2016-03-08,6831,15908,412710,-2.6
5000122,2021-04-26,6619,06688,626380,11.31
13763137,1999-02-20,1413,42695,674348,1.3
10061726,2015-12-17,4931,28911,701116,-4.4
11566850,1989-07-16,9602,12825,963323,13.43
13196299,2008-08-03,4729,33407,803202,10.08
11967757,2005-06-24,8810,20752,500684,1.98
12677563,2011-09-10,3514,08179,130237,12.49
12615436,2010-07-18,7211,08981,746134,10.26
16092736,2017-08-19,7711,22668,510624,-0.7
14521577,1967-07-05,4646,47150,901289,4.73
991036,1992-08-31,6520,38762,173641,8.36
5000123,2010-04-24,5920,15192,454092,12.03
12983282,1991-09-22,5819,47642,223190,2.77
14502172,2022-12-19,7739,52711,286578,-0.12
16086782,2010-05-07,4646,30142,134439,7.39
5000124,2023-10-01,9511,16976,162617,3.26
10654559,1997-04-05,4519,32063,706928,6.26
5000125,2002-03-26,8532,04548,550184,13.0
8634879,2002-03-10,5814,52654,793849,7.52
8325707,2011-07-22,8421,27315,437798,14.84
13991152,2021-01-21,6209,03960,103780,-3.71
4700824,1998-01-23,8730,11394,317746,13.2
6540362,2013-08-25,5229,08294,703308,5.0
14160653,2009-10-08,7912,33323,69958,11.7
7645740,1994-05-01,3211,48213,349801,14.41
14699878,2012-09-05,7739,39883,384567,-2.88
12611594,2015-08-23,4931,03258,343997,-1.56
5000126,2001-11-07,7410,28944,109530,-2.02
6737203,2007-02-03,7112,43839,501134,14.92
3597652,2019-08-09,9101,01155,116833,6.48
5209589,1997-02-26,2599,15712,319118,2.23
16524776,2010-07-21,6920,15904,153968,2.55
16665835,2018-11-15,6910,19002,619495,-4.44
5000127,2012-05-24,4612,28852,716236,7.68
5000128,2018-02-03,9001,23517,572428,11.6
10934360,2015-03-06,4939,25261,380117,3.41
5186925,2011-04-16,2825,33425,629669,-4.46
9208857,1994-07-27,1011,50310,906136,-4.88
4720389,1995-03-21,8720,47418,345946,1.98
8261954,1981-03-31,7712,50943,605726,13.1
7038724,1984-12-08,8421,06820,211629,2.84
13459121,1996-12-21,7739,35460,414791,-0.2
12033289,2018-05-25,6110,09176,665351,7.29
5000129,2024-03-03,6611,26957,511154,9.05
5000130,2006-05-27,4649,39122,761654,7.15
5000131,2018-04-19,9319,27772,104859,-1.42
5000132,2016-06-28,4110,40591,472352,-3.42
15007566,2025-09-19,8219,31769,151803,-1.95
5000133,2020-10-30,2599,44088,452363,8.71
5000134,2008-01-13,3514,35649,170277,5.56
8194063,2010-01-31,2611,17284,562312,-0.2
8000163,1999-07-01,9700,33302,610007,-0.64
16337726,2010-12-06,4519,41170,504839,7.22
15726011,2017-05-21,8430,15074,433873,-3.63
4759629,2008-02-23,8413,03418,347538,6.42
5000135,2007-12-16,4711,33724,123871,3.71
5342823,2003-04-30,4751,19276,328194,12.01
7979608,1999-02-21,4931,44796,657026,10.97
8557717,1994-10-10,8531,18452,509121,5.13
7260686,2015-01-27,2899,10016,167125,-3.57
9893664,2008-11-14,6810,01689,224263,7.26
5000136,2016-04-04,4778,12468,501509,-3.36
7813621,2005-12-24,6492,28635,977358,3.87
4638125,1998-10-05,8710,35078,403775,2.74
14459448,2008-05-24,4724,47728,802899,-4.28
14329306,2011-06-16,6611,49933,328223,7.96
9067370,2006-11-02,7211,11366,687740,7.25
4467004,2022-09-24,2433,37747,733065,8.04
5000137,2012-10-15,2932,12482,760805,0.42
5000138,2005-07-21,2899,26857,151302,5.68
13441483,2022-11-05,9001,37813,262957,9.95
13569765,2008-03-10,6202,13295,934044,14.67
8449997,2011-11-28,5224,26967,452692,-2.83
9761131,2009-10-24,9700,11024,508606,-4.79
15006960,2017-04-21,8623,50880,74512,4.98
16559398,1998-01-05,7311,25751,696475,4.64
11337279,1990-05-28,1721,09669,473741,4.32
10129573,2021-06-30,3320,05878,379357,2.55
5874339,2013-07-07,1391,52635,78675,3.78
